book_id,book_title,author_id,num_pages,cover_type,publish_date,description,genre_ids
32,"The Millennium Trilogy (Millennium Trilogy, #1-3)",505,1531,Hardcover,07-11-2005,Stieg Larssons Millennium Trilogy is now available in a complete hardcover set,"[97, 166, 106, 48, 144, 59, 12]"
33,"A Dance with Dragons (A Song of Ice and Fire, #5)",64,1125,Kindle Edition,12-07-2011,In the aftermath of a colossal battle the future of the Seven Kingdoms hangs in the balancebeset by newly emerging threats from every direction In the east Daenerys Targaryen the last scion of House Targaryen rules with her three dragons as queen of a city built on dust and death But Daenerys has thousands of enemies and many have set out to find her As they gather one young man embarks upon his own quest for the queen with an entirely different goal in mind,"[107, 182, 35, 3, 23, 38, 42]"
34,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",424,390,Hardcover,21-02-2012,Dante can swim Ari cant Dante is articulate and selfassured Ari has a hard time with words and suffers from selfdoubt Dante gets lost in poetry and art Ari gets lost in thoughts of his older brother who is in prison Dante is fair skinned Aris features are much darker It seems that a boy like Dante with his open and unique perspective on life would be the last person to break down the walls that Ari has built around himself ,"[118, 114, 12, 182, 249, 42, 274]"
35,The Agony and the Ecstasy,448,776,Mass Market Paperback,01-01-1958,Celebrating the 500th anniversary of Michelangelos David New American Library releases a special edition of Irving Stones classic biographical novelin which both the artist and the man are brought to life in full A masterpiece in its own right this novel offers a compelling portrait of Michelangelos dangerous impassioned loves and the Goddriven fury from which he wrested the greatest art the world has ever known,"[254, 182, 289, 68, 193, 21, 75]"
36,The Book Thief,486,592,Kindle Edition,01-09-2005,It is 1939 Nazi Germany The country is holding its breath Death has never been busier and will be busier still,"[254, 182, 93, 68, 21, 209, 5]"
37,Nine Stories,403,302,Paperback,06-04-1953,Nine Stories 1953 is a collection of short stories by American fiction writer J D Salinger published in April 1953 It includes two of his most famous short stories A Perfect Day for Bananafish and For Esm  with Love and Squalor Nine Stories is the US title the book is published in many other countries as For Esm  with Love and Squalor and Other Stories,"[17, 182, 68, 143, 184, 228, 215]"
38,The Historian,33,704,Kindle Edition,14-06-2005,To you perceptive reader I bequeath my historyLate one night exploring her fathers library a young woman finds an ancient book and a cache of yellowing letters The letters are all addressed to My dear and unfortunate successor and they plunge her into a world she never dreamed of a labyrinth where the secrets of her fathers past and her mothers mysterious fate connect to an inconceivable evil hidden in the depths of history,"[97, 243, 246, 248, 151, 166, 21]"
39,The Complete Poems of Emily Dickinson,537,716,Paperback,01-01-1890,Only eleven of Emily Dickinsons poems were published prior to her death in 1886 the startling originality of her work doomed it to obscurity in her lifetime Early posthumously published collectionssome of them featuring liberally edited versions of the poemsdid not fully and accurately represent Dickinsons bold experiments in prosody her tragic vision and the range of her intellectual and emotional explorations Not until the 1955 publication of ,"[74, 68, 182, 143, 134, 184, 264]"
40,"The Monarch's Ring (The Lost Artefacts, #2)",159,344,Kindle Edition,04-05-2022,The group is split up They were betrayed Lincoln and Liv are trapped in the lost dimension Nowhere and El and AJ are under house arrest all the while their enemies grow closer to discovering the whereabouts of Gedeons lost ring,"[107, 93, 67, 182, 122]"
41,"Crooked Kingdom (Six of Crows, #2)",73,561,Kindle Edition,27-09-2016,Welcome to the world of the Grisha,"[107, 93, 182, 34, 122, 114, 236]"
